id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,link,is_intimate_wear
58513,Women,Apparel,Topwear,Tops,Off White,Summer,2012,Casual,Tonga Women Maroon Top,https://assets.myntassets.com/v1/images/style/properties/Tonga-Women-Maroon-Top_e5cc855ba59e5640817434d45f9c088d_images.jpg,FALSE
25947,Women,Accessories,Scarves,Scarves,Brown,Summer,2012,Casual,Femella Women Brown Scarf,https://assets.myntassets.com/v1/images/style/properties/aeb9132a29d8844aca73a4544d8135c5_images.jpg,FALSE
39716,Women,Apparel,Dress,Dresses,Blue,Summer,2012,Casual,Arrow Woman Women Blue Dress,https://assets.myntassets.com/v1/images/style/properties/c5b0d7c1f0308be020655bc10ca16427_images.jpg,FALSE
55802,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,2017,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,https://assets.myntassets.com/v1/images/style/properties/SDL-by-Sweet-Dreams-Women-White-Pyjama-Set_debea45adf6bdb5816030e5d05b53d2f_images.jpg,TRUE
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012,Sports,Urban Yoga Women Blue Skirt With Leggings,https://assets.myntassets.com/v1/images/style/properties/c3a37f190933411b11c0fa488bc8bc4d_images.jpg,FALSE
34009,Girls,Apparel,Topwear,Tops,Black,Summer,2012,Casual,Gini and Jony Girls Black Top,https://assets.myntassets.com/v1/images/style/properties/dce310e4c15223a6c964631190263284_images.jpg,FALSE
27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,2012,Formal,Scullers For Her Charcoal Blazer,https://assets.myntassets.com/v1/images/style/properties/a2826334fe816ee0e95ce93b8aabc90d_images.jpg,FALSE
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012,Casual,Jealous 21 Women Black Jeans,https://assets.myntassets.com/v1/images/style/properties/Jealous-21-Women-Black-Jeans_6c38590b2ec56b444a760aa56a8ef7e9_images.jpg,FALSE
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurta,https://assets.myntassets.com/v1/images/style/properties/Sushilas-Women-Printed-Green-Kurta_c9347616597dbcbe6eca805e1677c269_images.jpg,FALSE
51455,Women,Apparel,Topwear,Shrug,Pink,Summer,2012,Casual,Tonga Women Pink Printed Shrug,https://assets.myntassets.com/v1/images/style/properties/28d91b2c102e5742714c7f706a73eeb4_images.jpg,FALSE
59638,Women,Apparel,Saree,Sarees,Green,Fall,2012,Ethnic,FNF Green Wedding Collection Sari,https://assets.myntassets.com/v1/images/style/properties/FNF-Green-Collection-for-Wedding-Sari_7e6a7f6bba933b0923861ac3b65c9f5e_images.jpg,FALSE
11385,Women,Apparel,Topwear,Sweatshirts,Black,Fall,2011,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,https://assets.myntassets.com/v1/images/style/properties/c843af98fead5393ecf56934e07ca496_images.jpg,FALSE
31782,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,Lee Women Paula Blue Top,https://assets.myntassets.com/v1/images/style/properties/5b427e7381af213df2d54a17cd193aea_images.jpg,FALSE
32563,Women,Apparel,Bottomwear,Trousers,Blue,Summer,2012,Casual,ONLY Women directoire blue Trousers,https://assets.myntassets.com/v1/images/style/properties/ONLY-Women-directoire-blue-Trousers_9ad40a06ae4b8c071f84e12599c1c9b7_images.jpg,FALSE
40143,Girls,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,Gini and Jony Girls Pretty Blossom Blue Top,https://assets.myntassets.com/v1/images/style/properties/fc3c1b46906d5c148c45f532d0b3ffb5_images.jpg,FALSE
24406,Women,Apparel,Topwear,Kurtas,Red,Summer,2012,Ethnic,Vishudh Women Red Printed Kurta,https://assets.myntassets.com/v1/images/style/properties/cc658745ce38f9e09bec039a997155a9_images.jpg,FALSE
21174,Women,Apparel,Topwear,Tops,Beige,Fall,2011,Casual,s.Oliver Women Stripes Beige Top,https://assets.myntassets.com/v1/images/style/properties/5a76ef8930d8bd543d8f7e6f5383d390_images.jpg,FALSE
15341,Women,Apparel,Bottomwear,Shorts,Pink,Fall,2011,Sports,Nike Women Solid Pink Shorts,https://assets.myntassets.com/v1/images/style/properties/f105cf31753c2cbdf23e8722dc83a019_images.jpg,FALSE
52486,Women,Apparel,Innerwear,Camisoles,Maroon,Winter,2015,Casual,Red Rose Maroon Camisole,https://assets.myntassets.com/v1/images/style/properties/Red-Rose-Maroon-Bra_c75c0ad76e53ba58736e6f8fd21d07b0_images.jpg,TRUE
23623,Girls,Apparel,Topwear,Tops,Pink,Fall,2011,Casual,Doodle Kids Girls Pink I love Shopping Top,https://assets.myntassets.com/v1/images/style/properties/ef9685293a987f515492addd034006bf_images.jpg,FALSE
9835,Women,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Little Miss Women Printed Grey T-shirt,https://assets.myntassets.com/v1/images/style/properties/e2604389938f13f2cc1a772bba320a45_images.jpg,FALSE
7193,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,Jealous 21 Women Black Jegging,https://assets.myntassets.com/v1/images/style/properties/054b93509e888e996ba7b12b554870e3_images.jpg,FALSE
27283,Women,Apparel,Topwear,Kurtas,Magenta,Fall,2011,Ethnic,Mother Earth Women Magenta Kurta,https://assets.myntassets.com/v1/images/style/properties/1dea61d01ec84aed63dcbb32adda717a_images.jpg,FALSE
12164,Women,Apparel,Topwear,Dupatta,Orange,Fall,2011,Ethnic,Aurelia Women Voile Orange Dupatta,https://assets.myntassets.com/v1/images/style/properties/88540c74d7d507c9371c5d9f37125ce1_images.jpg,FALSE
47154,Girls,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,Gini and Jony Girls Black Capris,https://assets.myntassets.com/v1/images/style/properties/5158808a5bdd60c8c8af6999f8481160_images.jpg,FALSE
3701,Women,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Tantra Women Flower Heart Black Long T-shirt,https://assets.myntassets.com/v1/images/style/properties/906c588711dcf840a61168758f463664_images.jpg,FALSE
42426,Women,Apparel,Topwear,Kurtas,Sea Green,Summer,2012,Ethnic,Aurelia Women Sea Green Kurta,https://assets.myntassets.com/v1/images/style/properties/2e25195b2eaba31b89a991f2e0dbd532_images.jpg,FALSE
10401,Women,Apparel,Topwear,Tops,Purple,Fall,2011,Casual,Jealous 21 Women Uaine Purple Tops,https://assets.myntassets.com/v1/images/style/properties/144954d20ce2e31fe6953f3e249e9a68_images.jpg,FALSE
40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012,Casual,Tokyo Talkies Women Navy Slim Fit Jeans,https://assets.myntassets.com/v1/images/style/properties/a6ea6713bae041ef4f62d3612586d1ef_images.jpg,FALSE
37223,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,United Colors of Benetton Women Blue Top,https://assets.myntassets.com/v1/images/style/properties/58c4b740c2d2e9b52c6900579c7ff2d2_images.jpg,FALSE
25520,Girls,Apparel,Topwear,Tops,White,Fall,2011,Casual,Doodle Kids Girls City Chic White Top,https://assets.myntassets.com/v1/images/style/properties/416f7bd57546242fd72a817de0d517e5_images.jpg,FALSE
32597,Women,Apparel,Topwear,Tops,Black,Summer,2012,Casual,ONLY Women Black Top,https://assets.myntassets.com/v1/images/style/properties/9d4d7aa206e22813311c0a0406ce02a4_images.jpg,FALSE
57100,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Elle Women Dark Pink Top,https://assets.myntassets.com/v1/images/style/properties/Elle-Women-Dark-Pink-Top_ce0e1c18ffc47444dcb28bb7b78ae13f_images.jpg,FALSE
20052,Women,Accessories,Mufflers,Mufflers,Yellow,Fall,2011,Casual,United Colors Of Benetton Women Yellow Muffler,https://assets.myntassets.com/v1/images/style/properties/70506325cf800559ba06b15300846ea8_images.jpg,FALSE
50325,Women,Apparel,Topwear,Kurtas,Navy Blue,Summer,2012,Ethnic,Aurelia Women Navy Blue Kurta,https://assets.myntassets.com/v1/images/style/properties/Aurelia-Women-Navy-Blue-Kurta_269c51a0aa07f814b0d68df6b37d4113_images.jpg,FALSE
27277,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Mother Earth Women Blue Kurta,https://assets.myntassets.com/v1/images/style/properties/a576a21253c4cc6b7c04426389c1c58f_images.jpg,FALSE
6889,Women,Apparel,Topwear,Jackets,Cream,Summer,2011,Casual,Forever New Women Stone Cream Jacket,https://assets.myntassets.com/v1/images/style/properties/01c417703d7775105ba346c691f4700b_images.jpg,FALSE
31312,Women,Apparel,Topwear,Kurtas,Peach,Summer,2012,Ethnic,W Women Peach Kurta,https://assets.myntassets.com/v1/images/style/properties/8e6291cb947f1d35eb4ebc3c73baf1eb_images.jpg,FALSE
19578,Women,Apparel,Topwear,Tops,Purple,Summer,2011,Casual,United Colors of Benetton Women Solid Purple Top,https://assets.myntassets.com/v1/images/style/properties/97d87b20b1a8810ee10f617a8a7ccc52_images.jpg,FALSE
27879,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,Scullers For Her Women Blue Top,https://assets.myntassets.com/v1/images/style/properties/018b322355f8a44f117488fee256049c_images.jpg,FALSE
28831,Women,Apparel,Innerwear,Briefs,Brown,Summer,2017,Casual,Enamor Women Pack of 3 Mid-Rise Bikini Brief,https://assets.myntassets.com/v1/images/style/properties/9d76cb50cdc99a3519f78164dbc691ae_images.jpg,TRUE
13270,Women,Apparel,Topwear,Tops,White,Fall,2011,Casual,Palm Tree Kids Girls Printed White Tops,https://assets.myntassets.com/v1/images/style/properties/b590f001fb08f324b17ce869686b27dc_images.jpg,FALSE
31120,Girls,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Palm Tree Girls Pink Top,https://assets.myntassets.com/v1/images/style/properties/83f4ab34db71459ba1f80bb8992cf9d5_images.jpg,FALSE
40385,Women,Apparel,Topwear,Tops,Yellow,Summer,2012,Casual,Tokyo Talkies Women Yellow Top,https://assets.myntassets.com/v1/images/style/properties/9e616458a21ce9d3b0ddf0895b24df0b_images.jpg,FALSE
28469,Women,Apparel,Topwear,Tshirts,Pink,Summer,2012,Casual,Urban Yoga Women Printed Pink T-shirt,https://assets.myntassets.com/v1/images/style/properties/8e3ddd6772fdb8b69c328402aa2baa0c_images.jpg,FALSE
27421,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Blue,Winter,2015,Casual,Jockey Women Blue Lounge Pants,https://assets.myntassets.com/assets/images/27421/2015/11/23/11448283185049-Jockey-Women-Blue-Lounge-Pants-3621448283184622-1.jpg,TRUE
33213,Women,Apparel,Topwear,Tops,Magenta,Summer,2012,Casual,Sepia Women Printed Magenta Top,https://assets.myntassets.com/v1/images/style/properties/cd2a1ae491facf0acf36443998a0c217_images.jpg,FALSE
39729,Women,Apparel,Topwear,Tops,Olive,Summer,2012,Casual,Arrow Woman Olive Top,https://assets.myntassets.com/v1/images/style/properties/3d8b78b013627f7e9d738ccec2972480_images.jpg,FALSE
56684,Women,Apparel,Saree,Sarees,Beige,Fall,2012,Ethnic,Fabindia Beige & Maroon Mull Printed Saree,https://assets.myntassets.com/v1/images/style/properties/Fabindia-Printed-Beige-Sari_b2b862ad19c18dc983c5cf843fe56bcc_images.jpg,FALSE
4988,Women,Apparel,Dress,Dresses,White,Summer,2011,Casual,Gini and Jony Girl's Vanya White Polka Dot Kidswear,https://assets.myntassets.com/v1/images/style/properties/e7559ae62df37abf5338b7992aa8c628_images.jpg,FALSE
33021,Women,Apparel,Topwear,Kurtas,Cream,Summer,2012,Ethnic,Mother Earth Women Printed Cream Kurta,https://assets.myntassets.com/v1/images/style/properties/051884f22b637d9cf40922baecd8ff20_images.jpg,FALSE
41401,Women,Apparel,Topwear,Tops,White,Summer,2012,Casual,Wrangler Women White Smocked Top,https://assets.myntassets.com/v1/images/style/properties/907aca262d340d45f49d7d3690fdc953_images.jpg,FALSE
57138,Women,Apparel,Bottomwear,Trousers,Brown,Summer,2012,Casual,Elle Women Brown Trousers,https://assets.myntassets.com/v1/images/style/properties/Elle-Women-Brown-Trousers_a7f66d28a9214c62dc8073fa66146018_images.jpg,FALSE
26993,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Jealous 21 Women Washed Blue Jeans,https://assets.myntassets.com/v1/images/style/properties/6220c2b37ad0a42be62fb92b1d6c7e14_images.jpg,FALSE
43538,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,French Connection Women Blue Top,https://assets.myntassets.com/v1/images/style/properties/French-Connection-Women-Blue-Top_1230fe55a5335d7405f43cb5c43b3c90_images.jpg,FALSE
31118,Girls,Apparel,Topwear,Tops,Red,Summer,2012,Casual,Gini and Jony Girls Red Top,https://assets.myntassets.com/v1/images/style/properties/1e3b40d501f5fbbceeab3879db474932_images.jpg,FALSE
51499,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Denizen Women Blue Jeans,https://assets.myntassets.com/v1/images/style/properties/689197cf54631e679c2db7ec742a6e09_images.jpg,FALSE
55805,Women,Apparel,Loungewear and Nightwear,Night suits,Pink,Summer,2017,Casual,SDL by Sweet Dreams Women Pink & Black Printed Night Suit S11-3134,https://assets.myntassets.com/v1/images/style/properties/SDL-by-Sweet-Dreams-Women-Pink---Black-Pyjama-Set_29ef1a45af8f10f5c12737350c74cfc5_images.jpg,TRUE
7709,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,Jealous 21 Women's Aaren Black Jegging,https://assets.myntassets.com/v1/images/style/properties/dc428dc4301332468e7c6f8070c8f06b_images.jpg,FALSE
28451,Women,Apparel,Bottomwear,Track Pants,Black,Summer,2012,Casual,Urban Yoga Women Black Track Pants,https://assets.myntassets.com/v1/images/style/properties/07555cd5a97cd7ff5492fd344348dfcf_images.jpg,FALSE
27419,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Black,Winter,2015,Casual,Jockey Women Black Lounge Pants,https://assets.myntassets.com/v1/images/style/properties/2ebe09ca473dc308c580e25f41fdd66f_images.jpg,TRUE
49654,Women,Apparel,Bottomwear,Skirts,Grey,Summer,2012,Casual,Mineral Women Grey Skirt,https://assets.myntassets.com/v1/images/style/properties/4066aebdb467176a1e68e7b5c402130a_images.jpg,FALSE
33019,Women,Apparel,Topwear,Kurtas,Yellow,Summer,2012,Ethnic,Mother Earth Women Printed Yellow Kurta,https://assets.myntassets.com/v1/images/style/properties/8025d48579dca906daf4b3a72407715b_images.jpg,FALSE
58514,Women,Apparel,Topwear,Tops,Grey,Summer,2012,Casual,Tonga Women Grey Top,https://assets.myntassets.com/v1/images/style/properties/Tonga-Women-Grey-Top_f73ea340974e7cc7cb4db18f7889cec7_images.jpg,FALSE
25940,Women,Accessories,Scarves,Scarves,Yellow,Summer,2012,Casual,Femella Women Yellow & Blue Scarf,https://assets.myntassets.com/v1/images/style/properties/2cd34561dd4ed25df6d9fd070a9e88d9_images.jpg,FALSE
59600,Women,Apparel,Saree,Sarees,Rust,Fall,2012,Ethnic,FNF Rust Wedding Collection Sari,https://assets.myntassets.com/v1/images/style/properties/FNF-Rust---Green-Collection-for-Wedding-Sari_8a5ee22b73ef48ec683e77ba3b8de5a4_images.jpg,FALSE
54923,Girls,Apparel,Bottomwear,Capris,Olive,Summer,2012,Casual,Do u speak Green Girls Olive 3/4 Pant,https://assets.myntassets.com/v1/images/style/properties/Do-u-speak-Green-Girls-Olive-34-Pant_62311570aeebd7385030de554584a065_images.jpg,FALSE
3953,Women,Apparel,Topwear,Tshirts,Red,Summer,2011,Casual,Jealous 21 Women's Red Peace T-shirt,https://assets.myntassets.com/v1/images/style/properties/812fff8546b72c2f4bea1cf9a0ac0f13_images.jpg,FALSE
28697,Women,Apparel,Topwear,Kurtas,Black,Summer,2012,Ethnic,W Women Printed Black Kurta,https://assets.myntassets.com/v1/images/style/properties/7cc9d6974c744535b7343cc863082311_images.jpg,FALSE
42248,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Sepia Women Pink Top,https://assets.myntassets.com/v1/images/style/properties/e0da05b38a2fe03cace0a8fbddc65006_images.jpg,FALSE
18002,Women,Apparel,Bottomwear,Capris,Black,Summer,2011,Sports,Puma Women Essential Skinny Black 3/4 Pant,https://assets.myntassets.com/v1/images/style/properties/c6a98b1107df02d5791d0006235939df_images.jpg,FALSE
32903,Women,Apparel,Bottomwear,Shorts,Red,Summer,2012,Casual,Allen Solly Women Red Shorts,https://assets.myntassets.com/v1/images/style/properties/Allen-Solly-Women-Red-Shorts_a99033bbbb95bbf0b9cc2945a99e5f18_images.jpg,FALSE
26369,Women,Apparel,Topwear,Shirts,Blue,Summer,2012,Casual,Arrow Woman Blue Shirt,https://assets.myntassets.com/v1/images/style/properties/2b2bb303e1b844960d62d84888b226e0_images.jpg,FALSE
14099,Women,Apparel,Topwear,Tops,Pink,Fall,2011,Casual,Flying Machine Women Solid Pink Tops,https://assets.myntassets.com/v1/images/style/properties/1c2d217895f9a1bf02a20b09084491da_images.jpg,FALSE
26967,Women,Apparel,Topwear,Tops,Navy Blue,Summer,2012,Casual,Jealous 21 Women Check Navy Blue Top,https://assets.myntassets.com/v1/images/style/properties/85d720a91f528535d65276aabff0ee69_images.jpg,FALSE
27089,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,Aneri Women Jazz Brown Kurta,https://assets.myntassets.com/v1/images/style/properties/fb270d2a6f06ba2d0736b2700ee916eb_images.jpg,FALSE
51835,Women,Apparel,Innerwear,Briefs,Red,Summer,2016,Casual,Bwitch Red Lace  Briefs,https://assets.myntassets.com/v1/images/style/properties/0e1d36b05c6bd99ed90a50af5f4000a7_images.jpg,TRUE
33026,Women,Apparel,Topwear,Kurtas,Pink,Fall,2012,Ethnic,Mother Earth Women Pink Kurta,https://assets.myntassets.com/v1/images/style/properties/Mother-Earth-Women-Red-Kurta_573ea7192ffd5b39893b3eda44983b1f_images.jpg,FALSE
41406,Women,Apparel,Topwear,Tshirts,Pink,Summer,2012,Casual,Wrangler Women Pink T-shirt,https://assets.myntassets.com/v1/images/style/properties/8801f4359aee713a7036663fd1684d60_images.jpg,FALSE
11376,Women,Apparel,Topwear,Tops,Grey,Fall,2011,Casual,United Colors Of Benetton Women Light Winter Grey Tops,https://assets.myntassets.com/v1/images/style/properties/9aeb7516044919916346d95f0a5d2c99_images.jpg,FALSE
7504,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Sports,Nike Women's Smash Pink T-shirt,https://assets.myntassets.com/v1/images/style/properties/45238d144ec35bc28a35230fb0f7934b_images.jpg,FALSE
27426,Women,Apparel,Bottomwear,Shorts,Grey Melange,Winter,2015,Casual,Jockey Women Grey Melange Shorts,https://assets.myntassets.com/assets/images/27426/2016/2/8/11454933652080-Jockey-Women-Grey-Melange-Shorts-1291454933651500-1.jpg,FALSE
2244,Women,Apparel,Topwear,Tshirts,Black,Fall,2010,Casual,ADIDAS Women's Black T-shirt,https://assets.myntassets.com/v1/images/style/properties/683aba986f6883e3a5c64fb97c994342_images.jpg,FALSE
58719,Women,Apparel,Topwear,Kurtas,Off White,Summer,2012,Ethnic,ALayna Women Off White  Kurta,https://assets.myntassets.com/v1/images/style/properties/ALayna-Women-Off-White-Kurta_7bcf85e4b08cb7c1dd41f805d4dfae1d_images.jpg,FALSE
28836,Women,Apparel,Topwear,Kurtas,Multi,Summer,2012,Ethnic,BIBA Women Printed Multi Coloured Kurta,https://assets.myntassets.com/v1/images/style/properties/cf493bdbb43980ef920fbc7b0186defb_images.jpg,FALSE
31127,Girls,Apparel,Dress,Dresses,Black,Summer,2012,Casual,Gini and Jony Girls Black Dress,https://assets.myntassets.com/v1/images/style/properties/1f7c87ee0ac12c35df8c1dd28e2cd692_images.jpg,FALSE
11520,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,United Colors of Benetton Women Denim Black Jeans,https://assets.myntassets.com/v1/images/style/properties/5c145f1074d79ebf9aff413ccfe6e910_images.jpg,FALSE
40382,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Tokyo Talkies Women Pink Top,https://assets.myntassets.com/v1/images/style/properties/ff487d5e2a7f343d35859997db375cab_images.jpg,FALSE
39178,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Aneri Women Blue & Brown Printed Kurta,https://assets.myntassets.com/v1/images/style/properties/63db656dc4734d22a042a82d4d2220b4_images.jpg,FALSE
32590,Women,Apparel,Bottomwear,Shorts,Brown,Summer,2012,Casual,ONLY Women Brown Shorts,https://assets.myntassets.com/v1/images/style/properties/36fea288ee96091dc00afe5c45ba4805_images.jpg,FALSE
25527,Women,Apparel,Topwear,Shirts,Green,Summer,2012,Casual,Wrangler Women Stella Green Shirt,https://assets.myntassets.com/v1/images/style/properties/265eaf9a05b99fdb4dbe35b18b471e8d_images.jpg,FALSE
57107,Women,Apparel,Topwear,Tops,Olive,Summer,2012,Casual,Elle Women Green Essentials Top,https://assets.myntassets.com/v1/images/style/properties/Elle-Women-Green-Essentials-Top_4005e959727a4e1d62466cbac510a810_images.jpg,FALSE
20055,Women,Accessories,Mufflers,Mufflers,Grey,Fall,2011,Casual,United Colors Of Benetton Women Grey Muffler,https://assets.myntassets.com/v1/images/style/properties/fa0228df29b9f0e6f46a58f62fed8038_images.jpg,FALSE
50322,Women,Apparel,Topwear,Kurtas,Black,Summer,2012,Ethnic,Aurelia Women Black Kurta,https://assets.myntassets.com/v1/images/style/properties/Aurelia-Women-Black-Kurta_c4c320f95ca75370cd5968f71c1e94f0_images.jpg,FALSE
27270,Women,Apparel,Topwear,Kurtas,Maroon,Fall,2011,Ethnic,Mother Earth Women Printed Maroon Kurta,https://assets.myntassets.com/v1/images/style/properties/ffd7ff3429c7b21608356a3151f9d3d4_images.jpg,FALSE
31315,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,W Women Brown Kurta,https://assets.myntassets.com/v1/images/style/properties/1b95cb05b0764bd86a680349f5d6fb1f_images.jpg,FALSE
6274,Women,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,UCB Women's Crystal Benetton Green T-shirt,https://assets.myntassets.com/v1/images/style/properties/UCB-Womens-Crystal-Benetton-Green-T-shirt_b968dc92b9557aa699a993e633f3ec77_images.jpg,FALSE
47153,Girls,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Gini and Jony Girls Pink Capris,https://assets.myntassets.com/v1/images/style/properties/87321ab7962a30b2e9b01fa16997029c_images.jpg,FALSE
51036,Women,Apparel,Loungewear and Nightwear,Nightdress,Lime Green,Summer,2017,Casual,Enamor Women Lavender Nightdress,https://assets.myntassets.com/v1/images/style/properties/071dd59248e30f876b273d0cd2b6ec2b_images.jpg,TRUE
26958,Women,Apparel,Topwear,Shirts,Teal,Summer,2012,Casual,Jealous 21 Women Teal Shirt,https://assets.myntassets.com/v1/images/style/properties/Jealous-21-Women-Teal-Shirt_33d3c1ebfd4326101c5d138dbef83c65_images.jpg,FALSE
40376,Women,Apparel,Topwear,Tops,Yellow,Summer,2012,Casual,Tokyo Talkies Women Yellow Top,https://assets.myntassets.com/v1/images/style/properties/3fab2ad9e05ab42350a215e39a88e81e_images.jpg,FALSE
10406,Women,Apparel,Dress,Dresses,Grey,Fall,2011,Casual,United Colors of Benetton Women Solid Grey Dresses,https://assets.myntassets.com/v1/images/style/properties/6e87fe4893ca930227d3491f46947783_images.jpg,FALSE
37224,Women,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,United Colors of Benetton Women Purple Shirt,https://assets.myntassets.com/v1/images/style/properties/7f98a5ed0ace114dd53496079ebf66be_images.jpg,FALSE
32564,Women,Apparel,Bottomwear,Trousers,Orange,Summer,2012,Casual,ONLY Women Orange Trousers,https://assets.myntassets.com/v1/images/style/properties/ONLY-Women-Orange-Trousers_317f0e045fb28b45820102148bdc4f7b_images.jpg,FALSE
24401,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,Vishudh Women Brown Printed Kurta,https://assets.myntassets.com/v1/images/style/properties/15921a3a0cb13a30a920f8bfbef3c7ed_images.jpg,FALSE
40144,Girls,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Gini and Jony Girls Pretty Blossom Pink Top,https://assets.myntassets.com/v1/images/style/properties/1397081a5a637d539b0197aae4a6855e_images.jpg,FALSE
21173,Women,Apparel,Topwear,Shirts,Grey,Fall,2011,Casual,s.Oliver Women Grey Shirt,https://assets.myntassets.com/v1/images/style/properties/sOliver-Women-Grey-Shirt_cefde0d6bd0b74888e9d34814be33deb_images.jpg,FALSE
9832,Women,Apparel,Topwear,Tshirts,Orange,Fall,2011,Casual,Little Miss Women Printed Rust T-shirt,https://assets.myntassets.com/v1/images/style/properties/b4912a94db18a093e185d9e4c2649edf_images.jpg,FALSE
23624,Girls,Apparel,Topwear,Tops,White,Fall,2011,Casual,Doodle Kids Girls White I love Shopping Top,https://assets.myntassets.com/v1/images/style/properties/5ab7fb83e0891f3453746c9a073e3ec6_images.jpg,FALSE
34693,Girls,Apparel,Bottomwear,Shorts,Pink,Summer,2012,Casual,Allen Solly Kids Girls Poplin Pink Shorts,https://assets.myntassets.com/v1/images/style/properties/c8c6fd3233823726f484da6b7007f016_images.jpg,FALSE
7194,Women,Apparel,Topwear,Tops,White,Fall,2011,Casual,Jealous 21 Women's BFF Printed White Top,https://assets.myntassets.com/v1/images/style/properties/2302abf56311dd985dd4f2227f3159e5_images.jpg,FALSE
